path,top_dir,ext,size_bytes,mtime_local,review_status,notes
.gitignore,.gitignore,<noext>,696,2026-01-07 19:22:33,pending,
1.png,1.png,.png,2231,2026-01-07 19:22:33,pending,
ADVANCED_FEATURES_GUIDE.md,ADVANCED_FEATURES_GUIDE.md,.md,10061,2026-01-10 10:54:42,pending,
audit/directory_reorg.log,audit,.log,10365,2026-01-14 01:41:51,pending,
audit/src_cleanup.log,audit,.log,738,2026-01-14 01:46:41,pending,
audit/审计清单_backup_20260114_014217.csv,audit,.csv,1342910,2026-01-14 01:36:48,pending,
audit/审计清单_backup_20260114_014651.csv,audit,.csv,1093164,2026-01-14 01:42:17,pending,
audit/核心链路审计报告.md,audit,.md,9084,2026-01-14 01:22:38,pending,
audit/非核心文件归类报告.md,audit,.md,4565,2026-01-14 01:22:38,pending,
BOT_FRAMEWORK_GUIDE.md,BOT_FRAMEWORK_GUIDE.md,.md,7682,2026-01-10 10:33:30,pending,
build.bat,build.bat,.bat,198,2026-01-07 19:22:33,pending,
build.cmd,build.cmd,.cmd,2855,2026-01-13 01:08:26,pending,
ChatAutoBot.sln,ChatAutoBot.sln,.sln,2460,2026-01-07 19:22:33,pending,
CLAUDE.md,CLAUDE.md,.md,5352,2026-01-07 19:22:33,pending,
config.ini,config.ini,.ini,320,2026-01-13 01:18:24,pending,
DIRECT_CONNECTION_GUIDE.md,DIRECT_CONNECTION_GUIDE.md,.md,8421,2026-01-10 11:30:28,pending,
dist/WSLFramework/config.ini,dist,.ini,275,2026-01-11 11:25:50,pending,
dist/WSLFramework/HPSocket.Net.dll,dist,.dll,273920,2025-12-26 14:13:28,pending,
dist/WSLFramework/HPSocket.Net.pdb,dist,.pdb,84148,2025-12-26 14:13:28,pending,
dist/WSLFramework/HPSocket.Net.xml,dist,.xml,366855,2025-12-26 14:13:28,pending,
dist/WSLFramework/HPSocket4C.dll,dist,.dll,3667456,2025-10-20 16:58:52,pending,
dist/WSLFramework/HPSocket4C_2.dll,dist,.dll,3667456,2025-10-20 16:58:52,pending,
dist/WSLFramework/logs/framework_20260111.log,dist,.log,1276,2026-01-11 11:53:53,pending,
dist/WSLFramework/Plugin.ini,dist,.ini,92,2026-01-11 11:25:50,pending,
dist/WSLFramework/run.cmd,dist,.cmd,1341,2026-01-11 11:56:32,pending,
dist/WSLFramework/wsl/登录配置.ini,dist,.ini,60,2026-01-11 11:25:50,pending,
dist/WSLFramework/wsl/设置.ini,dist,.ini,201,2026-01-11 11:25:50,pending,
dist/WSLFramework/WSLFramework.exe,dist,.exe,59904,2026-01-11 11:52:39,pending,
dist/WSLFramework/WSLFramework.exe.config,dist,.config,383,2026-01-11 11:20:21,pending,
dist/WSLFramework/启动框架.bat,dist,.bat,210,2026-01-11 12:13:25,pending,
dist/WSLFramework/旺商聊框架.exe.config,dist,.config,383,2026-01-11 11:52:39,pending,
dist/WSLFramework/旺商聊框架.pdb,dist,.pdb,114176,2026-01-11 11:52:39,pending,
dist/WSLFramework/端口.ini,dist,.ini,24,2026-01-11 11:25:50,pending,
docs/NIM_SDK_协议文档.md,docs,.md,18322,2026-01-07 20:14:09,pending,
docs/wangshangliao-integration.md,docs,.md,2694,2026-01-07 19:22:33,pending,
docs/主框架功能文档.md,docs,.md,46511,2026-01-13 20:38:24,pending,
docs/招财狗逆向分析报告.md,docs,.md,8581,2026-01-11 12:53:52,pending,
docs/旺商聊API完整参考.md,docs,.md,15082,2026-01-08 07:39:07,pending,
