path,top_dir,ext,size_bytes,mtime_local,review_status,notes
deep_api_test_v2.js,deep_api_test_v2.js,.js,24726,2026-01-09 04:59:27,deleted,deleted_test_files
deep_dom_analysis.js,deep_dom_analysis.js,.js,16331,2026-01-08 07:12:09,indexed,noncore_indexed
deep_explore_mute.js,deep_explore_mute.js,.js,19484,2026-01-08 09:45:15,indexed,noncore_indexed
deep_explore_result.json,deep_explore_result.json,.json,1059,2026-01-08 09:19:47,indexed,noncore_indexed
deep_explore_wsl.js,deep_explore_wsl.js,.js,21014,2026-01-08 09:27:10,indexed,noncore_indexed
deep_investigate_failed_apis.js,deep_investigate_failed_apis.js,.js,27479,2026-01-09 05:41:24,indexed,noncore_indexed
deep_investigation_results.json,deep_investigation_results.json,.json,14200,2026-01-09 05:38:32,indexed,noncore_indexed
deep_mute_exploration.json,deep_mute_exploration.json,.json,10823,2026-01-08 09:42:16,indexed,noncore_indexed
deep_reverse_team_api.js,deep_reverse_team_api.js,.js,34372,2026-01-09 04:10:13,indexed,noncore_indexed
deep_reverse_v2.js,deep_reverse_v2.js,.js,25081,2026-01-09 04:10:13,indexed,noncore_indexed
DIRECT_CONNECTION_GUIDE.md,DIRECT_CONNECTION_GUIDE.md,.md,8421,2026-01-10 11:30:28,indexed,noncore_indexed
dist/WSLFramework/config.ini,dist,.ini,275,2026-01-11 11:25:50,indexed,noncore_indexed
dist/WSLFramework/HPSocket.Net.dll,dist,.dll,273920,2025-12-26 14:13:28,skip(binary),binary_artifact
dist/WSLFramework/HPSocket.Net.pdb,dist,.pdb,84148,2025-12-26 14:13:28,skip(binary),binary_artifact
dist/WSLFramework/HPSocket.Net.xml,dist,.xml,366855,2025-12-26 14:13:28,indexed,noncore_indexed
dist/WSLFramework/HPSocket4C.dll,dist,.dll,3667456,2025-10-20 16:58:52,skip(binary),binary_artifact
dist/WSLFramework/HPSocket4C_2.dll,dist,.dll,3667456,2025-10-20 16:58:52,skip(binary),binary_artifact
dist/WSLFramework/logs/framework_20260111.log,dist,.log,1276,2026-01-11 11:53:53,runtime_data,runtime_or_dump
dist/WSLFramework/Plugin.ini,dist,.ini,92,2026-01-11 11:25:50,indexed,noncore_indexed
dist/WSLFramework/run.cmd,dist,.cmd,1341,2026-01-11 11:56:32,indexed,noncore_indexed
dist/WSLFramework/wsl/登录配置.ini,dist,.ini,60,2026-01-11 11:25:50,indexed,noncore_indexed
dist/WSLFramework/wsl/设置.ini,dist,.ini,201,2026-01-11 11:25:50,indexed,noncore_indexed
dist/WSLFramework/WSLFramework.exe,dist,.exe,59904,2026-01-11 11:52:39,skip(binary),binary_artifact
dist/WSLFramework/WSLFramework.exe.config,dist,.config,383,2026-01-11 11:20:21,pending,
dist/WSLFramework/启动框架.bat,dist,.bat,210,2026-01-11 12:13:25,indexed,noncore_indexed
dist/WSLFramework/旺商聊框架.exe.config,dist,.config,383,2026-01-11 11:52:39,pending,
dist/WSLFramework/旺商聊框架.pdb,dist,.pdb,114176,2026-01-11 11:52:39,skip(binary),binary_artifact
dist/WSLFramework/端口.ini,dist,.ini,24,2026-01-11 11:25:50,indexed,noncore_indexed
docs/NIM_SDK_协议文档.md,docs,.md,18322,2026-01-07 20:14:09,indexed,noncore_indexed
docs/wangshangliao-integration.md,docs,.md,2694,2026-01-07 19:22:33,indexed,noncore_indexed
docs/主框架功能文档.md,docs,.md,46511,2026-01-13 20:38:24,indexed,noncore_indexed
docs/招财狗逆向分析报告.md,docs,.md,8581,2026-01-11 12:53:52,indexed,noncore_indexed
docs/旺商聊API全面测试报告.md,docs,.md,12231,2026-01-09 05:41:19,deleted,deleted_test_files
docs/旺商聊API完整参考.md,docs,.md,15082,2026-01-08 07:39:07,indexed,noncore_indexed
docs/旺商聊API测试报告.md,docs,.md,31121,2026-01-08 10:18:42,deleted,deleted_test_files
